order_id,order_date,product,category,region,units,unit_price,cost
ORD-100000,2024-02-02,Cotton T-Shirt,Apparel,South,4.0,18.01,5.73
ORD-100001,2024-10-10,Protein Powder,Health,North,6.0,50.88,21.57
ORD-100002,2024-08-27,Wireless Mouse,Electronics,North,3.0,26.69,11.26
ORD-100003,2024-06-09,Denim Jacket,Apparel,West,2.0,134.53,54.42
ORD-100004,2024-06-07,Desk Lamp,Home,South,5.0,38.07,15.9
ORD-100005,2024-11-10,Water Bottle,Health,West,1.0,18.68,6.53
ORD-100006,2024-02-01,4K Webcam,Electronics,East,6.0,79.05,39.2
ORD-100007,2024-09-12,Scented Candle,Home,Central,4.0,17.78,5.89
ORD-100008,2024-03-14,Noise-Cancel Headphones,Electronics,East,4.0,146.64,68.12
ORD-100009,2024-02-04,Mechanical Keyboard,Electronics,Central,2.0,76.43,38.18
ORD-100010,2024-07-11,Cotton T-Shirt,Apparel,South,,19.21,6.14
ORD-100011,2024-12-23,Yoga Mat,Health,West,2.0,35.69,14.18
ORD-100012,2024-09-26,Throw Blanket,Home,East,5.0,49.79,19.98
ORD-100013,2024-10-05,Denim Jacket,Apparel,North,2.0,118.1,57.45
ORD-100014,2024-09-19,4K Webcam,Electronics,South,6.0,84.1,39.64
ORD-100015,2024-10-14,USB-C Hub,Electronics,South,3.0,46.5,17.73
ORD-100016,2024-07-06,4K Webcam,Electronics,North,5.0,89.06,40.42
ORD-100017,2024-02-16,USB-C Hub,Electronics,Central,5.0,47.0,17.79
ORD-100018,2024-11-03,USB-C Hub,Electronics,South,6.0,46.78,19.01
ORD-100019,2024-06-13,Throw Blanket,Home,East,7.0,45.52,19.38
ORD-100020,2024-07-02,USB-C Hub,Electronics,East,5.0,41.77,17.51
ORD-100021,2024-05-15,Wireless Mouse,Electronics,East,7.0,24.06,11.76
ORD-100022,2024-03-07,Wool Beanie,Apparel,West,3.0,20.84,6.85
ORD-100023,2024-12-05,4K Webcam,Electronics,Central,7.0,92.36,38.31
ORD-100024,2024-10-13,Denim Jacket,Apparel,Central,3.0,122.11,56.98
ORD-100025,2024-08-23,USB-C Hub,Electronics,Central,6.0,47.47,18.45
ORD-100026,2024-05-27,Noise-Cancel Headphones,Electronics,East,4.0,151.95,73.05
ORD-100027,2024-10-28,Denim Jacket,Apparel,West,8.0,121.25,53.39
ORD-100028,2024-07-18,Throw Blanket,Home,North,3.0,51.94,19.57
ORD-100029,2024-06-11,Running Shoes,Apparel,Central,5.0,97.23,42.58
ORD-100030,2024-06-13,Wool Beanie,Apparel,North,2.0,22.07,7.17
ORD-100031,2024-03-24,Wool Beanie,Apparel,North,6.0,23.63,7.22
ORD-100032,2024-02-03,4K Webcam,Electronics,Central,1.0,89.51,40.85
ORD-100033,2024-07-21,4K Webcam,Electronics,West,4.0,87.65,41.87
ORD-100034,2024-11-20,Running Shoes,Apparel,North,1.0,91.02,43.25
ORD-100035,2024-01-24,Wireless Mouse,Electronics,Central,3.0,25.88,11.09
ORD-100036,2024-11-10,Scented Candle,Home,North,4.0,19.11,5.97
ORD-100037,2024-10-29,Ceramic Mug,Home,North,3.0,13.96,3.77
ORD-100038,2024-04-11,4K Webcam,Electronics,Central,4.0,94.82,41.98
ORD-100039,2024-08-19,Cotton T-Shirt,Apparel,South,2.0,17.13,6.01
ORD-100040,2024-03-01,Cotton T-Shirt,Apparel,South,6.0,18.95,5.9
ORD-100041,2024-10-04,Scented Candle,Home,West,7.0,17.96,6.31
ORD-100042,2024-09-13,Desk Lamp,Home,West,4.0,37.58,15.09
ORD-100043,2024-05-09,Mechanical Keyboard,Electronics,East,1.0,88.42,40.5
ORD-100044,2024-01-25,Running Shoes,Apparel,Central,1.0,94.69,41.96
ORD-100045,2024-12-21,Wireless Mouse,Electronics,North,6.0,24.49,11.14
ORD-100046,2024-06-12,Denim Jacket,Apparel,Central,8.0,120.16,54.13
ORD-100047,2024-11-22,Noise-Cancel Headphones,Electronics,South,7.0,134.08,65.33
ORD-100048,2024-09-05,Cotton T-Shirt,Apparel,West,4.0,18.28,5.97
ORD-100049,2024-10-11,Denim Jacket,Apparel,South,4.0,125.9,55.74
ORD-100050,2024-10-05,Cotton T-Shirt,Apparel,South,2.0,18.4,6.16
ORD-100051,2024-03-12,Running Shoes,Apparel,South,1.0,91.06,41.67
ORD-100052,2024-05-13,Desk Lamp,Home,East,7.0,41.55,14.6
ORD-100053,2024-06-19,Desk Lamp,Home,Central,4.0,41.61,15.01
ORD-100054,2024-07-01,Wireless Mouse,Electronics,North,4.0,25.65,11.9
ORD-100055,2024-01-17,Running Shoes,Apparel,West,3.0,92.84,40.16
ORD-100056,2024-07-19,Protein Powder,Health,Central,3.0,54.34,25.37
ORD-100057,2024-02-26,Wool Beanie,Apparel,West,8.0,21.12,6.74
ORD-100058,2024-09-29,Noise-Cancel Headphones,Electronics,Central,7.0,141.59,69.49
ORD-100059,2024-09-06,Ceramic Mug,Home,North,6.0,13.27,4.1
ORD-100060,2024-12-03,USB-C Hub,Electronics,South,4.0,43.61,18.38
ORD-100061,2024-09-29,Wireless Mouse,Electronics,East,6.0,23.71,11.7
ORD-100062,2024-05-14,Scented Candle,Home,East,3.0,16.59,6.02
ORD-100063,2024-12-20,Wool Beanie,Apparel,South,5.0,22.24,7.13
ORD-100064,2024-05-30,Desk Lamp,Home,South,2.0,39.46,15.83
ORD-100065,2024-04-29,Cotton T-Shirt,Apparel,Central,6.0,20.62,6.16
ORD-100066,2024-11-27,Protein Powder,Health,South,1.0,53.16,25.52
ORD-100067,2024-05-15,Running Shoes,Apparel,Central,6.0,96.41,41.78
ORD-100068,2024-01-28,Throw Blanket,Home,North,5.0,49.77,21.38
ORD-100069,2024-06-20,Mechanical Keyboard,Electronics,East,1.0,78.0,37.07
ORD-100070,2024-10-18,Mechanical Keyboard,Electronics,West,5.0,81.94,39.16
ORD-100071,2024-03-10,Desk Lamp,Home,Central,2.0,40.51,16.31
ORD-100072,2024-06-18,Protein Powder,Health,West,4.0,55.9,22.97
ORD-100073,2024-02-17,Water Bottle,Health,North,1.0,19.74,7.06
ORD-100074,2024-09-08,Cotton T-Shirt,Apparel,West,6.0,18.66,6.0
ORD-100075,2024-06-23,Wireless Mouse,Electronics,South,5.0,23.29,10.62
ORD-100076,2024-04-30,Water Bottle,Health,Central,3.0,19.19,7.1
ORD-100077,2024-03-24,Ceramic Mug,Home,West,8.0,13.56,4.02
ORD-100078,2024-07-25,Noise-Cancel Headphones,Electronics,North,6.0,140.63,69.8
ORD-100079,2024-09-02,Desk Lamp,Home,South,5.0,39.86,15.96
ORD-100080,2024-12-10,Yoga Mat,Health,Central,2.0,37.09,12.95
ORD-100081,2024-06-08,4K Webcam,Electronics,Central,5.0,84.96,40.4
ORD-100082,2024-02-28,Desk Lamp,Home,West,6.0,39.55,16.09
ORD-100083,2024-10-31,Desk Lamp,Home,South,8.0,36.98,15.59
ORD-100084,2024-08-18,Wool Beanie,Apparel,South,5.0,21.66,7.74
ORD-100085,2024-09-13,Scented Candle,Home,West,2.0,17.38,5.66
ORD-100086,2024-02-05,4K Webcam,Electronics,East,6.0,91.68,40.04
ORD-100087,2024-04-24,Yoga Mat,Health,South,1.0,33.81,12.74
ORD-100088,2024-10-08,Water Bottle,Health,South,3.0,21.01,7.57
ORD-100089,2024-10-31,Water Bottle,Health,North,8.0,19.75,6.63
ORD-100090,2024-06-08,Throw Blanket,Home,East,7.0,47.41,20.34
ORD-100091,2024-10-21,Wireless Mouse,Electronics,East,8.0,23.43,11.11
ORD-100092,2024-11-04,Cotton T-Shirt,Apparel,East,3.0,19.24,6.08
ORD-100093,2024-05-21,Denim Jacket,Apparel,Central,6.0,125.37,57.72
ORD-100094,2024-11-24,Water Bottle,Health,West,6.0,20.27,7.34
ORD-100095,2024-04-15,Wool Beanie,Apparel,East,2.0,24.46,6.87
ORD-100096,2024-03-28,Wool Beanie,Apparel,South,8.0,23.57,7.05
ORD-100097,2024-09-06,USB-C Hub,Electronics,West,8.0,44.31,17.58
ORD-100098,2024-08-21,Desk Lamp,Home,Central,1.0,38.38,16.06
ORD-100099,2024-02-21,Cotton T-Shirt,Apparel,North,7.0,19.45,5.81
ORD-100100,2024-10-31,Mechanical Keyboard,Electronics,South,4.0,75.69,37.72
ORD-100101,2024-03-14,Water Bottle,Health,North,6.0,21.17,6.53
ORD-100102,2024-10-21,Noise-Cancel Headphones,Electronics,South,5.0,151.69,71.13
ORD-100103,2024-01-03,Wireless Mouse,Electronics,North,2.0,25.32,10.25
ORD-100104,2024-10-18,Mechanical Keyboard,Electronics,East,1.0,81.71,38.23
ORD-100105,2024-10-15,Denim Jacket,Apparel,Central,5.0,130.34,52.3
ORD-100106,2024-10-12,Mechanical Keyboard,Electronics,Central,7.0,79.68,36.71
ORD-100107,2024-08-31,Protein Powder,Health,South,7.0,54.69,25.11
ORD-100108,2024-06-21,Wool Beanie,Apparel,West,3.0,23.66,7.16
ORD-100109,2024-09-15,Cotton T-Shirt,Apparel,South,7.0,19.92,6.28
ORD-100110,2024-04-11,Wireless Mouse,Electronics,South,3.0,24.6,11.69
ORD-100111,2024-10-12,Denim Jacket,Apparel,West,5.0,120.03,53.3
ORD-100112,2024-07-22,USB-C Hub,Electronics,West,3.0,45.44,20.14
ORD-100113,2024-06-16,Water Bottle,Health,East,5.0,20.36,6.59
ORD-100114,2024-07-04,4K Webcam,Electronics,North,5.0,82.96,42.22
ORD-100115,2024-07-27,Denim Jacket,Apparel,East,6.0,110.75,53.91
ORD-100116,2024-01-14,Wireless Mouse,Electronics,South,4.0,23.89,10.59
ORD-100117,2024-02-21,USB-C Hub,Electronics,North,5.0,42.83,19.47
ORD-100118,2024-03-30,Noise-Cancel Headphones,Electronics,North,6.0,144.2,72.65
ORD-100119,2024-02-11,Wireless Mouse,Electronics,East,4.0,25.79,11.4
ORD-100120,2024-06-09,Throw Blanket,Home,North,5.0,48.59,20.17
ORD-100121,2024-09-01,Water Bottle,Health,West,1.0,20.2,7.04
ORD-100122,2024-08-27,Water Bottle,Health,North,7.0,18.78,7.15
ORD-100123,2024-06-21,4K Webcam,Electronics,South,2.0,86.95,41.5
ORD-100124,2024-11-08,Desk Lamp,Home,Central,7.0,40.15,16.35
ORD-100125,2024-07-25,Wool Beanie,Apparel,West,7.0,22.65,7.06
ORD-100126,2024-01-29,Wireless Mouse,Electronics,East,8.0,24.09,11.37
ORD-100127,2024-10-06,Mechanical Keyboard,Electronics,North,1.0,79.64,35.53
ORD-100128,2024-07-29,Wool Beanie,Apparel,North,2.0,24.42,6.96
ORD-100129,2024-08-20,Running Shoes,Apparel,Central,1.0,94.92,39.68
ORD-100130,2024-07-25,Wireless Mouse,Electronics,West,4.0,24.13,11.12
ORD-100131,2024-07-21,Yoga Mat,Health,Central,8.0,34.7,13.85
ORD-100132,2024-02-03,Throw Blanket,Home,Central,7.0,49.23,19.62
ORD-100133,2024-07-23,Wool Beanie,Apparel,North,6.0,21.83,7.04
ORD-100134,2024-10-17,Water Bottle,Health,Central,7.0,19.97,7.21
ORD-100135,2024-04-21,Water Bottle,Health,East,1.0,18.56,6.42
ORD-100136,2024-08-08,Water Bottle,Health,West,7.0,19.04,6.85
ORD-100137,2024-01-12,4K Webcam,Electronics,East,3.0,88.34,41.6
ORD-100138,2024-05-07,Yoga Mat,Health,West,6.0,34.71,11.49
ORD-100139,2024-06-08,Wool Beanie,Apparel,Central,7.0,21.38,6.73
ORD-100140,2024-12-25,Throw Blanket,Home,Central,6.0,48.57,20.88
ORD-100141,2024-03-19,Protein Powder,Health,East,4.0,55.17,24.96
ORD-100142,2024-04-11,USB-C Hub,Electronics,South,5.0,47.0,19.28
ORD-100143,2024-05-29,Denim Jacket,Apparel,West,4.0,119.4,56.94
ORD-100144,2024-12-29,USB-C Hub,Electronics,East,6.0,45.9,19.16
ORD-100145,2024-11-08,4K Webcam,Electronics,South,4.0,86.59,41.91
ORD-100146,2024-01-13,Running Shoes,Apparel,West,4.0,97.72,41.47
ORD-100147,2024-03-26,Protein Powder,Health,North,2.0,56.03,24.11
ORD-100148,2024-10-27,Protein Powder,Health,East,4.0,57.38,23.39
ORD-100149,2024-01-22,Running Shoes,Apparel,West,6.0,98.39,44.12
ORD-100150,2024-11-09,Cotton T-Shirt,Apparel,Central,7.0,19.56,6.37
ORD-100151,2024-04-12,Wool Beanie,Apparel,West,1.0,21.89,7.39
ORD-100152,2024-12-01,Yoga Mat,Health,Central,2.0,35.43,12.79
ORD-100153,2024-04-17,Water Bottle,Health,Central,5.0,21.06,6.73
ORD-100154,2024-06-07,Noise-Cancel Headphones,Electronics,South,6.0,144.14,73.58
ORD-100155,2024-08-30,USB-C Hub,Electronics,Central,2.0,43.59,19.41
ORD-100156,2024-02-16,Throw Blanket,Home,South,3.0,49.44,20.26
ORD-100157,2024-07-22,4K Webcam,Electronics,West,1.0,90.85,39.96
ORD-100158,2024-07-03,Noise-Cancel Headphones,Electronics,South,1.0,142.86,71.19
ORD-100159,2024-10-13,Wireless Mouse,Electronics,East,2.0,24.91,10.52
ORD-100160,2024-12-30,Running Shoes,Apparel,West,6.0,94.55,43.07
ORD-100161,2024-08-31,Running Shoes,Apparel,Central,7.0,84.48,44.32
ORD-100162,2024-05-29,Ceramic Mug,Home,Central,4.0,13.85,4.26
ORD-100163,2024-05-28,Noise-Cancel Headphones,Electronics,Central,2.0,147.83,71.98
ORD-100164,2024-06-01,Throw Blanket,Home,East,8.0,48.61,18.89
ORD-100165,2024-10-24,Scented Candle,Home,Central,3.0,19.27,6.05
ORD-100166,2024-04-27,Denim Jacket,Apparel,North,2.0,112.71,59.71
ORD-100167,2024-03-02,USB-C Hub,Electronics,Central,2.0,43.14,18.34
ORD-100168,2024-05-02,Wool Beanie,Apparel,South,3.0,19.13,6.98
ORD-100169,2024-01-09,Scented Candle,Home,East,6.0,17.57,6.34
ORD-100170,2024-02-08,Cotton T-Shirt,Apparel,Central,4.0,18.62,6.15
ORD-100171,2024-02-02,4K Webcam,Electronics,West,4.0,86.73,45.07
ORD-100172,2024-10-09,Wool Beanie,Apparel,Central,3.0,23.22,6.79
ORD-100173,2024-09-21,Cotton T-Shirt,Apparel,West,8.0,19.82,5.76
ORD-100174,2024-09-12,Running Shoes,Apparel,West,6.0,95.37,44.06
ORD-100175,2024-06-18,Cotton T-Shirt,Apparel,North,6.0,18.65,5.71
ORD-100176,2024-09-19,4K Webcam,Electronics,Central,4.0,93.57,40.68
ORD-100177,2024-02-29,Throw Blanket,Home,West,5.0,48.95,19.95
ORD-100178,2024-11-25,Denim Jacket,Apparel,West,8.0,115.09,57.28
ORD-100179,2024-07-02,Denim Jacket,Apparel,East,6.0,109.7,56.35
ORD-100180,2024-12-09,Scented Candle,Home,Central,7.0,17.6,6.11
ORD-100181,2024-02-25,Cotton T-Shirt,Apparel,East,1.0,19.72,5.9
ORD-100182,2024-07-01,Mechanical Keyboard,Electronics,North,7.0,87.99,39.85
ORD-100183,2024-09-11,Protein Powder,Health,North,8.0,55.17,27.86
ORD-100184,2024-06-30,Wireless Mouse,Electronics,West,6.0,24.04,11.3
ORD-100185,2024-06-12,Ceramic Mug,Home,West,8.0,13.17,4.02
ORD-100186,2024-03-01,4K Webcam,Electronics,South,5.0,91.46,38.87
ORD-100187,2024-05-19,Noise-Cancel Headphones,Electronics,West,3.0,135.85,68.22
ORD-100188,2024-03-28,Wireless Mouse,Electronics,Central,5.0,25.69,10.91
ORD-100189,2024-04-20,Yoga Mat,Health,East,6.0,36.43,12.72
ORD-100190,2024-09-07,Running Shoes,Apparel,Central,2.0,97.07,41.97
ORD-100191,2024-08-18,Cotton T-Shirt,Apparel,North,2.0,18.79,6.43
ORD-100192,2024-08-10,Throw Blanket,Home,East,3.0,50.38,21.0
ORD-100193,2024-05-12,Wireless Mouse,Electronics,East,5.0,25.21,10.93
ORD-100194,2024-12-17,Ceramic Mug,Home,South,2.0,13.46,3.81
ORD-100195,2024-02-02,Denim Jacket,Apparel,North,7.0,131.1,57.94
ORD-100196,2024-05-05,Wool Beanie,Apparel,East,1.0,21.61,6.99
ORD-100197,2024-02-13,Mechanical Keyboard,Electronics,South,8.0,82.06,35.38
ORD-100198,2024-05-04,Water Bottle,Health,South,6.0,17.58,7.2
ORD-100199,2024-12-18,Noise-Cancel Headphones,Electronics,South,3.0,158.51,72.87
ORD-100200,2024-05-14,Scented Candle,Home,East,3.0,19.32,5.42
ORD-100201,2024-11-28,Throw Blanket,Home,Central,6.0,49.07,19.34
ORD-100202,2024-06-30,Cotton T-Shirt,Apparel,East,1.0,19.53,5.97
ORD-100203,2024-09-13,USB-C Hub,Electronics,East,6.0,46.26,19.56
ORD-100204,2024-06-16,4K Webcam,Electronics,South,5.0,86.14,40.15
ORD-100205,2024-04-07,Desk Lamp,Home,East,2.0,40.07,15.47
ORD-100206,2024-10-06,Yoga Mat,Health,South,8.0,33.58,13.38
ORD-100207,2024-12-20,Yoga Mat,Health,Central,6.0,33.93,12.76
ORD-100208,2024-04-06,Noise-Cancel Headphones,Electronics,East,2.0,157.4,71.52
ORD-100209,2024-10-12,Ceramic Mug,Home,East,6.0,14.68,3.82
ORD-100210,2024-04-05,USB-C Hub,Electronics,North,4.0,43.41,17.97
ORD-100211,2024-09-19,Throw Blanket,Home,Central,7.0,47.2,20.6
ORD-100212,2024-10-15,Running Shoes,Apparel,East,4.0,91.93,42.42
ORD-100213,2024-06-13,Throw Blanket,Home,North,8.0,50.79,20.74
ORD-100214,2024-09-26,Scented Candle,Home,North,8.0,17.1,5.87
ORD-100215,2024-04-09,Water Bottle,Health,South,1.0,20.36,6.78
ORD-100216,2024-01-30,Denim Jacket,Apparel,West,4.0,124.48,57.99
ORD-100217,2024-02-05,Cotton T-Shirt,Apparel,North,2.0,18.92,5.63
ORD-100218,2024-06-12,Wool Beanie,Apparel,North,4.0,23.11,7.35
ORD-100219,2024-11-26,USB-C Hub,Electronics,East,2.0,44.32,20.0
ORD-100220,2024-02-16,Mechanical Keyboard,Electronics,East,5.0,78.16,39.31
ORD-100221,2024-06-15,Wool Beanie,Apparel,Central,2.0,20.93,6.81
ORD-100222,2024-09-14,Protein Powder,Health,West,5.0,57.8,23.22
ORD-100223,2024-03-15,Wool Beanie,Apparel,West,4.0,21.16,6.94
ORD-100224,2024-09-21,Desk Lamp,Home,South,8.0,39.68,15.17
ORD-100225,2024-04-21,USB-C Hub,Electronics,West,8.0,44.84,18.27
ORD-100226,2024-10-22,Denim Jacket,Apparel,East,5.0,113.68,56.42
ORD-100227,2024-07-30,Ceramic Mug,Home,South,4.0,13.57,4.1
ORD-100228,2024-07-19,Cotton T-Shirt,Apparel,South,6.0,20.31,5.75
ORD-100229,2024-03-05,Wireless Mouse,Electronics,Central,6.0,25.25,11.3
ORD-100230,2024-06-18,Mechanical Keyboard,Electronics,East,2.0,75.01,38.69
ORD-100231,2024-11-09,Yoga Mat,Health,East,4.0,35.53,13.79
ORD-100232,2024-01-08,Ceramic Mug,Home,West,8.0,13.9,4.09
ORD-100233,2024-10-04,4K Webcam,Electronics,South,3.0,104.37,42.74
ORD-100234,2024-06-29,4K Webcam,Electronics,South,1.0,90.27,41.78
ORD-100235,2024-09-20,Wireless Mouse,Electronics,Central,7.0,24.52,11.43
ORD-100236,2024-08-30,Water Bottle,Health,Central,8.0,21.42,6.64
ORD-100237,2024-06-07,Mechanical Keyboard,Electronics,East,6.0,71.73,37.81
ORD-100238,2024-04-22,Desk Lamp,Home,Central,6.0,39.18,15.98
ORD-100239,2024-08-17,Noise-Cancel Headphones,Electronics,South,3.0,163.86,69.32
ORD-100240,2024-02-21,Cotton T-Shirt,Apparel,West,3.0,18.89,6.11
ORD-100241,2024-08-01,4K Webcam,Electronics,North,8.0,81.29,42.04
ORD-100242,2024-02-04,Protein Powder,Health,West,7.0,53.91,24.38
ORD-100243,2024-08-25,Wireless Mouse,Electronics,North,4.0,26.82,10.92
ORD-100244,2024-08-18,Cotton T-Shirt,Apparel,South,3.0,19.36,5.82
ORD-100245,2024-01-31,4K Webcam,Electronics,Central,2.0,85.27,42.8
ORD-100246,2024-10-04,4K Webcam,Electronics,South,1.0,85.95,41.57
ORD-100247,2024-06-01,Noise-Cancel Headphones,Electronics,East,4.0,144.83,67.15
ORD-100248,2024-10-15,Yoga Mat,Health,Central,5.0,35.63,12.9
ORD-100249,2024-01-16,Running Shoes,Apparel,Central,6.0,101.36,39.07
ORD-100250,2024-03-06,Running Shoes,Apparel,East,7.0,,42.06
