sale_id,date_key,product_key,customer_key,store_key,units,unit_price,cost,sales_amount
1,20240105,31,173,6,7,126.95,95.59,888.65
2,20240420,36,202,6,9,305.16,191.72,2746.44
3,20240707,36,247,1,10,23.33,18.21,233.3
4,20241202,34,68,7,3,122.97,82.8,368.91
5,20240927,23,272,3,10,153.78,121.72,1537.8
6,20241012,1,236,6,9,458.23,289.7,4124.07
7,20240718,27,209,3,2,293.9,231.32,587.8
8,20240210,13,334,4,6,355.56,292.27,2133.36
9,20240523,35,275,6,2,339.63,286.73,679.26
10,20241230,22,373,8,5,199.18,155.96,995.9
11,20240117,41,391,8,1,11.94,9.09,11.94
12,20241117,27,331,6,3,57.98,40.93,173.94
13,20240907,25,120,5,6,232.11,135.02,1392.66
14,20240413,42,76,5,4,470.94,338.11,1883.76
15,20241011,22,120,8,1,128.14,92.13,128.14
16,20241102,17,286,2,4,350.67,199.68,1402.68
17,20240116,17,346,8,6,414.16,313.6,2484.96
18,20240208,40,353,6,8,453.86,269.9,3630.88
19,20240831,35,274,5,2,150.28,109.55,300.56
20,20241231,8,273,5,5,465.99,322.37,2329.95
21,20240109,23,381,7,2,305.95,248.59,611.9
22,20240831,17,275,6,2,256.66,159.05,513.32
23,20240219,30,57,1,2,390.3,234.71,780.6
24,20240825,3,201,7,8,123.16,88.1,985.28
25,20240816,33,144,6,10,407.23,280.2,4072.3
26,20240203,34,255,8,7,326.73,195.51,2287.11
27,20240906,11,255,8,4,400.69,294.15,1602.76
28,20241124,7,118,8,10,428.58,352.18,4285.8
29,20241112,29,120,1,5,310.59,239.8,1552.95
30,20240111,12,36,6,6,23.18,14.21,139.08
31,20240331,43,118,8,7,152.39,94.71,1066.73
32,20240329,35,332,8,7,439.62,315.33,3077.34
33,20240614,43,263,5,5,315.34,237.53,1576.7
34,20240222,25,378,8,5,445.58,375.94,2227.9
35,20241108,43,371,8,4,195.34,113.58,781.36
36,20241011,1,343,1,7,254.84,181.93,1783.88
37,20241022,14,72,8,7,431.98,365.55,3023.86
38,20240313,1,134,6,5,382.21,222.93,1911.05
39,20240106,31,23,5,8,191.86,161.5,1534.88
40,20241129,23,38,2,2,16.2,11.16,32.4
41,20240415,13,93,8,5,440.77,337.28,2203.85
42,20240828,14,113,3,10,394.25,267.14,3942.5
43,20241128,29,7,4,8,227.33,182.39,1818.64
44,20240114,9,338,3,8,275.39,226.52,2203.12
45,20240103,24,211,8,9,106.13,63.68,955.17
46,20240102,28,263,4,7,208.99,161.79,1462.93
47,20240227,11,262,1,7,85.78,47.71,600.46
48,20240119,11,387,1,5,109.23,69.15,546.15
49,20241027,16,59,8,9,423.95,303.42,3815.55
50,20240809,27,138,2,8,184.42,134.8,1475.36
51,20241224,12,124,7,6,408.29,269.3,2449.74
52,20241020,18,221,1,2,239.58,151.21,479.16
53,20241218,25,211,8,9,40.03,24.08,360.27
54,20240328,9,317,6,4,183.96,114.41,735.84
55,20240415,26,225,2,4,83.35,49.1,333.4
56,20241106,7,94,8,2,348.32,218.87,696.64
57,20240330,7,226,3,3,456.14,363.26,1368.42
58,20240121,11,386,8,2,382.72,243.51,765.44
59,20240901,13,232,5,1,390.33,320.97,390.33
60,20241020,2,237,4,1,431.62,269.14,431.62
61,20241220,44,71,1,3,389.45,271.68,1168.35
62,20241205,14,4,3,8,286.44,171.94,2291.52
63,20240214,37,84,1,9,358.57,199.05,3227.13
64,20241009,41,11,7,3,210.9,155.57,632.7
65,20241105,37,181,1,5,40.04,26.08,200.2
66,20240912,38,353,1,9,354.26,231.52,3188.34
67,20241027,5,179,1,8,362.22,243.53,2897.76
68,20241102,17,259,8,10,115.74,90.66,1157.4
69,20240612,34,343,8,5,477.2,319.69,2386.0
70,20240115,26,306,6,2,30.99,17.85,61.98
71,20240615,1,261,1,2,369.3,234.0,738.6
72,20240314,26,314,5,8,484.4,350.14,3875.2
73,20240211,37,113,8,1,158.03,134.02,158.03
74,20240215,38,169,1,5,456.67,270.78,2283.35
